id;name;code
57;РЕАБИЛИТАЦИЯ (АДАПТАЦИЯ), ТРУДОУСТРОЙСТВО, ОБЕСПЕЧЕНИЕ ПЕРСОНАЛОМ;03.04
58;УСЛУГИ ПО ОРГАНИЗАЦИИ ПИТАНИЯ;03.05
59;УСЛУГИ СТРОИТЕЛЬНЫЕ;03.06
60;ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ, СОДЕРЖАНИЕ И ТЕКУЩИЙ РЕМОНТ;03.07
61;УСЛУГИ ПО САНИТАРНОМУ СОДЕРЖАНИЮ, ОБРАЩЕНИЮ С ОТХОДАМИ, УБОРКЕ;03.08
62;УСЛУГИ (МЕРОПРИЯТИЯ) ОХРАННЫЕ И ПРОТИВОПОЖАРНЫЕ;03.10
63;УСЛУГИ КОММУНАЛЬНЫЕ;03.11
64;УСЛУГИ СВЯЗИ И ТЕЛЕКОММУНИКАЦИИ;03.12
65;УСЛУГИ ИНФОРМАЦИОННО-ТЕХНОЛОГИЧЕСКИЕ (ИТ);03.13
66;СТРАХОВАНИЕ;03.14
67;РАЗМЕЩЕНИЕ РЕКЛАМЫ, ИНФОРМИРОВАНИЕ;03.15
68;УСЛУГИ САНАТОРНО-КУРОРТНЫЕ, ОТДЫХ;03.16
69;УСЛУГИ В СФЕРЕ КУЛЬТУРЫ И ИСКУССТВА;03.17
70;ПРОВЕДЕНИЕ СПОРТИВНЫХ, ТУРИСТИЧЕСКИХ, ЭКСКУРСИОННЫХ МЕРОПРИЯТИЙ;03.18
71;УСЛУГИ ПО ХРАНЕНИЮ;03.20
72;УСЛУГИ РИТУАЛЬНЫЕ;03.21
73;УСЛУГИ КОНСАЛТИНГОВЫЕ;03.22
74;УСЛУГИ ПО ОЦЕНКЕ;03.23
75;УСЛУГИ АРХИВОВ, ДОКУМЕНТАЦИОННОЕ ОБЕСПЕЧЕНИЕ, ДЕЛОПРОИЗВОДСТВО;03.24
76;УСЛУГИ КРЕДИТНО-ФИНАНСОВЫЕ;03.25
77;УСЛУГИ НОТАРИАЛЬНЫЕ;03.26
78;УСЛУГИ ВЕТЕРИНАРНЫЕ;03.27
79;ЗООУСЛУГИ;03.28
80;ЭКСПЕРТИЗА (КРОМЕ ЭКСПЕРТИЗЫ ПСД), ИСПЫТАНИЕ, ТЕСТИРОВАНИЕ, ОЦЕНКА СООТВЕТСТВИЯ (ТЕХНИЧЕСКАЯ), МЕТРОЛОГИЯ;03.30
81;АРЕНДА;03.31
82;УСЛУГИ ТРАНСПОРТНО-ЭКСПЕДИЦИОННЫЕ;03.32
83;ПЕРЕВОЗКА ПАССАЖИРОВ;03.33
84;УСЛУГИ ПРЕДСТАВИТЕЛЬСКИЕ, ПРОВЕДЕНИЕ ОФИЦИАЛЬНЫХ ПРИЕМОВ, УСЛУГИ ПЕРЕВОДА;03.35
85;УСЛУГИ БЫТОВЫЕ;03.36
86;ОКАЗАНИЕ СОЦИАЛЬНОЙ ПОМОЩИ;03.39
87;УСЛУГИ, СВЯЗАННЫЕ С НЕДВИЖИМОСТЬЮ;03.40
88;УСЛУГИ АЭРОПОРТА;03.41
89;УСЛУГИ АРХИТЕКТУРНЫЕ;03.42
90;УПРАВЛЕНИЕ ИНТЕЛЛЕКТУАЛЬНОЙ СОБСТВЕННОСТЬЮ;03.44
91;УСЛУГИ ПО ЭНЕРГОСБЕРЕЖЕНИЮ И ПОВЫШЕНИЮ ЭНЕРГЕТИЧЕСКОЙ ЭФФЕКТИВНОСТИ (ЭНЕРГОСЕРВИС);03.45
92;УСЛУГИ СО ВСТРЕЧНЫМИ ИНВЕСТИЦИОННЫМИ ОБЯЗАТЕЛЬСТВАМИ;03.46
93;УСЛУГИ ЮРИДИЧЕСКИЕ;03.47
